prediction,confidence,steps,ground_truth,file,floorplan,agent_type,correct
student,5.0,52,assassin,assassin_attributes.json,5,naive_map,False
professor,7.5,3,professor,professor_attributes.json,4,naive_map,True
student,5.0,52,student,student_attributes.json,3,naive_map,True
professor,6.5,52,professor,professor_attributes.json,4,naive_map,True
billionaire,7.5,43,billionaire,billionaire_attributes.json,6,naive_map,True
student,5.0,52,unknown,extra_attributes.json,3,naive_map,False
student,6.5,52,unknown,extra_attributes.json,2,naive_map,False
professor,7.5,15,professor,professor_attributes.json,2,naive_map,True
student,6.5,52,student,student_attributes.json,8,naive_map,True
student,5.0,52,student,student_attributes.json,9,naive_map,True
student,6.5,52,professor,professor_attributes.json,3,naive_map,False
student,6.5,52,professor,professor_attributes.json,7,naive_map,False
student,5.0,52,student,student_attributes.json,5,naive_map,True
student,5.0,52,professor,professor_attributes.json,3,naive_map,False
professor,7.5,17,professor,professor_attributes.json,3,naive_map,True
student,6.5,52,unknown,extra_attributes.json,7,naive_map,False
student,5.0,52,professor,professor_attributes.json,6,naive_map,False
assassin,7.5,20,assassin,assassin_attributes.json,5,naive_map,True
student,5.0,52,unknown,extra_attributes.json,1,naive_map,False
student,5.0,52,unknown,extra_attributes.json,3,naive_map,False
