prediction,confidence,steps,ground_truth,file,floorplan,agent_type,correct
student,7.5,39,student,student_attributes.json,1,cot_memory,True
billionaire,7.5,30,student,student_attributes.json,1,cot_memory,False
professor,7.5,8,professor,professor_attributes.json,2,cot_memory,True
assassin,7.5,47,unknown,extra_attributes.json,1,cot_memory,False
billionaire,7.5,14,assassin,assassin_attributes.json,1,cot_memory,False
professor,7.5,35,professor,professor_attributes.json,6,cot_memory,True
student,7.0,52,unknown,extra_attributes.json,5,cot_memory,False
billionaire,7.5,3,billionaire,billionaire_attributes.json,6,cot_memory,True
billionaire,7.5,3,billionaire,billionaire_attributes.json,1,cot_memory,True
student,5.0,52,unknown,extra_attributes.json,6,cot_memory,False
professor,7.5,4,professor,professor_attributes.json,9,cot_memory,True
billionaire,7.5,8,billionaire,billionaire_attributes.json,9,cot_memory,True
professor,7.5,9,billionaire,billionaire_attributes.json,3,cot_memory,False
professor,7.5,15,assassin,assassin_attributes.json,7,cot_memory,False
assassin,7.5,11,assassin,assassin_attributes.json,1,cot_memory,True
professor,7.5,2,professor,professor_attributes.json,5,cot_memory,True
billionaire,7.5,13,billionaire,billionaire_attributes.json,8,cot_memory,True
student,5.0,52,unknown,extra_attributes.json,7,cot_memory,False
student,5.0,5,billionaire,billionaire_attributes.json,1,cot_memory,False
assassin,8.0,2,assassin,assassin_attributes.json,2,cot_memory,True
