prediction,confidence,steps,ground_truth,file,floorplan,agent_type,correct
student,0.7,52,unknown,extra_attributes.json,9,cot_memory_map,False
student,0.6,52,billionaire,billionaire_attributes.json,4,cot_memory_map,False
student,0.7,52,student,student_attributes.json,5,cot_memory_map,True
student,0.7,52,professor,professor_attributes.json,2,cot_memory_map,False
student,0.7,52,assassin,assassin_attributes.json,2,cot_memory_map,False
student,0.75,52,billionaire,billionaire_attributes.json,9,cot_memory_map,False
student,0.8,52,student,student_attributes.json,9,cot_memory_map,True
student,0.7,52,professor,professor_attributes.json,2,cot_memory_map,False
student,0.7,52,assassin,assassin_attributes.json,4,cot_memory_map,False
student,0.4,52,billionaire,billionaire_attributes.json,3,cot_memory_map,False
student,0.6,52,unknown,extra_attributes.json,6,cot_memory_map,False
student,0.85,52,student,student_attributes.json,4,cot_memory_map,True
student,0.7,52,professor,professor_attributes.json,6,cot_memory_map,False
student,0.8,52,professor,professor_attributes.json,5,cot_memory_map,False
student,0.7,52,professor,professor_attributes.json,6,cot_memory_map,False
student,0.85,52,assassin,assassin_attributes.json,3,cot_memory_map,False
student,0.7,52,unknown,extra_attributes.json,4,cot_memory_map,False
student,0.7,52,professor,professor_attributes.json,9,cot_memory_map,False
student,0.7,52,student,student_attributes.json,7,cot_memory_map,True
student,0.8,52,assassin,assassin_attributes.json,9,cot_memory_map,False
