prediction,confidence,steps,ground_truth,file,floorplan,agent_type,correct
professor,7.5,17,professor,professor_attributes.json,3,naive,True
assassin,6.5,52,unknown,extra_attributes.json,5,naive,False
student,6.0,52,student,student_attributes.json,4,naive,True
billionaire,6.0,52,billionaire,billionaire_attributes.json,6,naive,True
student,6.5,52,student,student_attributes.json,7,naive,True
student,5.0,52,unknown,extra_attributes.json,2,naive,False
billionaire,7.5,6,billionaire,billionaire_attributes.json,1,naive,True
professor,7.5,22,professor,professor_attributes.json,8,naive,True
professor,7.5,18,professor,professor_attributes.json,4,naive,True
billionaire,7.5,10,billionaire,billionaire_attributes.json,7,naive,True
professor,7.5,3,professor,professor_attributes.json,4,naive,True
student,4.5,52,assassin,assassin_attributes.json,7,naive,False
student,3.0,52,billionaire,billionaire_attributes.json,9,naive,False
student,4.5,52,unknown,extra_attributes.json,9,naive,False
student,6.5,52,student,student_attributes.json,6,naive,True
student,4.5,52,professor,professor_attributes.json,8,naive,False
student,4.5,52,assassin,assassin_attributes.json,6,naive,False
billionaire,7.5,15,billionaire,billionaire_attributes.json,2,naive,True
student,6.5,52,student,student_attributes.json,9,naive,True
student,6.5,52,student,student_attributes.json,6,naive,True
