prediction,confidence,steps,ground_truth,file,floorplan,agent_type,correct
student,0.85,52,student,student_attributes.json,3,memory_map,True
student,0.85,52,student,student_attributes.json,3,memory_map,True
student,0.85,52,assassin,assassin_attributes.json,9,memory_map,False
student,0.7,52,unknown,extra_attributes.json,5,memory_map,False
student,0.8,52,professor,professor_attributes.json,7,memory_map,False
student,0.85,52,assassin,assassin_attributes.json,5,memory_map,False
student,0.85,52,billionaire,billionaire_attributes.json,2,memory_map,False
student,0.85,52,professor,professor_attributes.json,3,memory_map,False
student,0.85,52,student,student_attributes.json,8,memory_map,True
student,0.85,52,unknown,extra_attributes.json,6,memory_map,False
student,0.85,52,assassin,assassin_attributes.json,7,memory_map,False
student,0.85,52,unknown,extra_attributes.json,7,memory_map,False
student,0.85,52,assassin,assassin_attributes.json,3,memory_map,False
student,0.85,52,student,student_attributes.json,1,memory_map,True
student,0.85,52,unknown,extra_attributes.json,9,memory_map,False
student,0.85,52,professor,professor_attributes.json,9,memory_map,False
student,0.85,52,student,student_attributes.json,4,memory_map,True
student,0.85,52,student,student_attributes.json,5,memory_map,True
student,0.75,52,assassin,assassin_attributes.json,8,memory_map,False
student,0.85,52,professor,professor_attributes.json,9,memory_map,False
