prediction,confidence,steps,ground_truth,file,floorplan,agent_type,correct
assassin,7.5,3,assassin,assassin_attributes.json,7,cot,True
billionaire,7.5,15,billionaire,billionaire_attributes.json,4,cot,True
student,5.0,52,student,student_attributes.json,4,cot,True
assassin,7.5,17,assassin,assassin_attributes.json,8,cot,True
assassin,7.0,52,assassin,assassin_attributes.json,8,cot,True
professor,7.5,51,billionaire,billionaire_attributes.json,2,cot,False
student,8.0,24,student,student_attributes.json,9,cot,True
billionaire,7.5,8,billionaire,billionaire_attributes.json,7,cot,True
student,6.0,52,professor,professor_attributes.json,7,cot,False
professor,7.5,9,billionaire,billionaire_attributes.json,3,cot,False
assassin,7.5,26,assassin,assassin_attributes.json,3,cot,True
billionaire,7.5,5,billionaire,billionaire_attributes.json,5,cot,True
billionaire,7.5,22,billionaire,billionaire_attributes.json,7,cot,True
student,5.0,52,assassin,assassin_attributes.json,3,cot,False
billionaire,7.5,32,billionaire,billionaire_attributes.json,5,cot,True
student,4.0,52,student,student_attributes.json,6,cot,True
professor,7.5,41,professor,professor_attributes.json,2,cot,True
professor,7.5,9,professor,professor_attributes.json,7,cot,True
billionaire,7.5,5,professor,professor_attributes.json,8,cot,False
student,7.5,40,unknown,extra_attributes.json,7,cot,False
