prediction,confidence,steps,ground_truth,file,floorplan,agent_type,correct
professor,7.5,25,professor,professor_attributes.json,4,memory,True
professor,7.5,3,professor,professor_attributes.json,3,memory,True
assassin,7.5,17,assassin,assassin_attributes.json,7,memory,True
student,5.0,52,unknown,extra_attributes.json,5,memory,False
student,5.0,52,student,student_attributes.json,9,memory,True
student,6.5,52,student,student_attributes.json,9,memory,True
assassin,7.5,3,assassin,assassin_attributes.json,5,memory,True
student,5.0,52,unknown,extra_attributes.json,6,memory,False
student,6.5,52,professor,professor_attributes.json,5,memory,False
billionaire,7.5,5,assassin,assassin_attributes.json,7,memory,False
student,5.0,52,professor,professor_attributes.json,2,memory,False
student,5.0,52,unknown,extra_attributes.json,4,memory,False
student,5.0,52,assassin,assassin_attributes.json,1,memory,False
student,4.0,52,billionaire,billionaire_attributes.json,2,memory,False
billionaire,7.5,25,billionaire,billionaire_attributes.json,7,memory,True
assassin,7.5,8,assassin,assassin_attributes.json,1,memory,True
student,6.5,52,unknown,extra_attributes.json,7,memory,False
student,6.5,52,professor,professor_attributes.json,4,memory,False
student,6.5,52,student,student_attributes.json,4,memory,True
student,5.0,52,billionaire,billionaire_attributes.json,7,memory,False
